path_train,name,id,img,path,label,nombre_img
Train,cardboard,cardboard1,cardboard1.jpg,cardboard/cardboard1.jpg,0,"[[[165 200 240]
  [167 202 242]
  [168 203 243]
  ...
  [143 172 216]
  [141 170 214]
  [143 172 216]]

 [[169 204 244]
  [170 205 245]
  [169 204 244]
  ...
  [144 173 217]
  [144 173 217]
  [142 171 215]]

 [[170 205 245]
  [171 206 246]
  [170 205 245]
  ...
  [144 173 217]
  [147 175 220]
  [142 171 215]]

 ...

 [[122 151 190]
  [120 146 186]
  [117 144 181]
  ...
  [ 66  88 113]
  [ 67  89 114]
  [ 69  91 116]]

 [[119 148 187]
  [123 149 189]
  [119 146 183]
  ...
  [ 66  88 113]
  [ 67  89 114]
  [ 68  90 115]]

 [[118 147 186]
  [118 144 184]
  [118 145 182]
  ...
  [ 67  89 114]
  [ 67  89 114]
  [ 68  90 115]]]"
Train,cardboard,cardboard10,cardboard10.jpg,cardboard/cardboard10.jpg,0,"[[[158 181 207]
  [159 182 208]
  [160 183 209]
  ...
  [ 74  93 114]
  [ 73  93 114]
  [ 73  92 113]]

 [[160 183 209]
  [161 184 210]
  [162 185 211]
  ...
  [ 79  98 119]
  [ 77  96 117]
  [ 74  93 114]]

 [[161 184 210]
  [164 187 213]
  [162 186 211]
  ...
  [ 79  99 120]
  [ 76  95 116]
  [ 72  91 112]]

 ...

 [[186 207 234]
  [185 206 233]
  [185 206 233]
  ...
  [124 147 173]
  [124 147 173]
  [119 142 168]]

 [[190 211 238]
  [190 211 238]
  [189 210 237]
  ...
  [123 146 172]
  [122 145 171]
  [117 140 166]]

 [[182 203 230]
  [185 206 233]
  [189 210 237]
  ...
  [123 146 172]
  [121 144 170]
  [116 139 165]]]"
Train,cardboard,cardboard102,cardboard102.jpg,cardboard/cardboard102.jpg,0,"[[[ 86 114 140]
  [ 88 116 142]
  [ 88 115 142]
  ...
  [207 208 206]
  [210 210 208]
  [210 212 212]]

 [[ 85 112 139]
  [ 87 114 141]
  [ 89 115 142]
  ...
  [203 204 202]
  [208 209 207]
  [208 210 210]]

 [[ 85 112 139]
  [ 85 112 139]
  [ 88 115 142]
  ...
  [203 204 201]
  [211 212 210]
  [213 215 215]]

 ...

 [[ 69  92 115]
  [ 72  96 118]
  [ 76  99 122]
  ...
  [217 222 221]
  [224 229 228]
  [226 231 232]]

 [[ 73  97 121]
  [ 75  99 123]
  [ 82 105 129]
  ...
  [218 223 222]
  [224 229 228]
  [226 231 232]]

 [[ 76 100 124]
  [ 79 103 127]
  [ 86 110 134]
  ...
  [219 225 224]
  [224 229 228]
  [224 229 230]]]"
Train,cardboard,cardboard103,cardboard103.jpg,cardboard/cardboard103.jpg,0,"[[[192 217 237]
  [191 215 236]
  [186 212 231]
  ...
  [ 90 118 149]
  [ 90 118 149]
  [ 91 119 151]]

 [[192 217 237]
  [189 214 234]
  [184 209 229]
  ...
  [ 91 119 150]
  [ 89 117 148]
  [ 89 117 148]]

 [[181 206 226]
  [171 196 216]
  [175 201 221]
  ...
  [ 91 119 150]
  [ 89 117 148]
  [ 88 116 147]]

 ...

 [[159 185 209]
  [164 190 214]
  [157 183 207]
  ...
  [108 120 134]
  [191 205 223]
  [182 199 218]]

 [[148 174 198]
  [149 175 199]
  [162 189 213]
  ...
  [ 90 102 116]
  [174 188 206]
  [174 191 210]]

 [[158 184 208]
  [147 173 197]
  [149 175 199]
  ...
  [ 58  71  84]
  [107 122 140]
  [121 138 157]]]"
Train,cardboard,cardboard105,cardboard105.jpg,cardboard/cardboard105.jpg,0,"[[[127 169 211]
  [133 175 217]
  [130 172 215]
  ...
  [108 133 159]
  [109 134 160]
  [107 132 158]]

 [[133 175 217]
  [135 177 219]
  [132 174 216]
  ...
  [110 135 161]
  [110 135 161]
  [106 131 157]]

 [[135 177 219]
  [133 175 217]
  [128 170 212]
  ...
  [110 136 161]
  [112 137 162]
  [106 131 157]]

 ...

 [[157 199 241]
  [155 197 239]
  [150 192 234]
  ...
  [130 172 214]
  [128 170 212]
  [125 167 209]]

 [[157 199 241]
  [157 199 241]
  [151 193 235]
  ...
  [130 172 214]
  [128 170 212]
  [121 163 205]]

 [[160 202 244]
  [163 205 247]
  [158 200 242]
  ...
  [130 172 214]
  [127 168 211]
  [119 161 203]]]"
Train,cardboard,cardboard106,cardboard106.jpg,cardboard/cardboard106.jpg,0,"[[[153 188 232]
  [154 189 233]
  [155 190 234]
  ...
  [133 174 219]
  [132 173 218]
  [134 174 220]]

 [[153 188 232]
  [154 189 233]
  [155 190 234]
  ...
  [133 174 219]
  [133 174 219]
  [134 175 220]]

 [[153 188 232]
  [154 189 233]
  [155 190 234]
  ...
  [135 176 221]
  [135 176 221]
  [136 177 222]]

 ...

 [[139 172 217]
  [140 173 218]
  [141 174 219]
  ...
  [137 176 215]
  [133 171 211]
  [135 173 213]]

 [[139 172 217]
  [138 171 216]
  [139 172 217]
  ...
  [136 174 216]
  [133 171 213]
  [133 171 213]]

 [[140 173 218]
  [138 171 216]
  [138 171 216]
  ...
  [138 176 218]
  [137 175 217]
  [134 172 214]]]"
Train,cardboard,cardboard107,cardboard107.jpg,cardboard/cardboard107.jpg,0,"[[[165 198 231]
  [169 202 235]
  [172 205 238]
  ...
  [116 143 170]
  [115 142 169]
  [120 147 174]]

 [[168 201 234]
  [170 203 236]
  [170 203 236]
  ...
  [120 147 174]
  [116 143 170]
  [118 146 172]]

 [[170 203 236]
  [171 204 237]
  [170 203 236]
  ...
  [124 151 178]
  [117 144 171]
  [117 145 172]]

 ...

 [[155 181 217]
  [148 174 210]
  [131 157 193]
  ...
  [ 65  89 115]
  [ 67  91 121]
  [ 64  89 120]]

 [[143 169 205]
  [135 161 197]
  [127 153 189]
  ...
  [ 59  82 107]
  [ 66  90 120]
  [ 66  90 122]]

 [[139 165 202]
  [126 152 189]
  [126 152 189]
  ...
  [ 47  70  95]
  [ 61  86 116]
  [ 66  89 120]]]"
Train,cardboard,cardboard108,cardboard108.jpg,cardboard/cardboard108.jpg,0,"[[[ 98 127 154]
  [102 131 158]
  [104 133 160]
  ...
  [ 98 121 144]
  [ 90 113 134]
  [ 85 109 129]]

 [[ 96 125 152]
  [101 130 157]
  [105 134 161]
  ...
  [ 89 113 138]
  [ 86 110 134]
  [ 87 109 133]]

 [[ 99 128 155]
  [100 129 156]
  [102 131 158]
  ...
  [ 88 110 137]
  [ 91 110 137]
  [ 95 112 138]]

 ...

 [[ 85  90 102]
  [ 91  96 108]
  [ 86  91 103]
  ...
  [ 56  74  91]
  [ 57  75  92]
  [ 55  73  90]]

 [[160 156 163]
  [183 179 186]
  [180 176 183]
  ...
  [ 57  75  92]
  [ 57  75  92]
  [ 54  72  90]]

 [[227 218 222]
  [228 220 223]
  [165 156 160]
  ...
  [ 57  75  92]
  [ 57  75  92]
  [ 54  72  89]]]"
Train,cardboard,cardboard110,cardboard110.jpg,cardboard/cardboard110.jpg,0,"[[[134 196 237]
  [130 192 233]
  [126 188 229]
  ...
  [ 77 129 170]
  [ 77 129 170]
  [ 75 127 168]]

 [[131 193 234]
  [130 192 233]
  [131 193 234]
  ...
  [ 77 129 170]
  [ 77 129 170]
  [ 76 128 169]]

 [[126 188 230]
  [132 195 236]
  [126 188 229]
  ...
  [ 76 128 169]
  [ 77 129 170]
  [ 78 130 171]]

 ...

 [[121 183 223]
  [119 181 222]
  [117 179 220]
  ...
  [111 172 216]
  [109 170 214]
  [106 167 211]]

 [[118 180 221]
  [120 182 223]
  [121 183 224]
  ...
  [110 171 215]
  [111 172 216]
  [106 167 211]]

 [[117 180 220]
  [119 181 222]
  [120 182 223]
  ...
  [111 172 216]
  [112 173 217]
  [111 172 216]]]"
Train,cardboard,cardboard111,cardboard111.jpg,cardboard/cardboard111.jpg,0,"[[[191 211 229]
  [188 208 226]
  [197 217 235]
  ...
  [140 149 158]
  [138 147 160]
  [136 147 161]]

 [[193 213 231]
  [190 210 228]
  [197 217 235]
  ...
  [139 147 157]
  [137 146 159]
  [135 146 160]]

 [[195 215 233]
  [191 211 229]
  [196 215 233]
  ...
  [138 147 157]
  [137 146 159]
  [136 147 161]]

 ...

 [[188 213 233]
  [188 213 233]
  [185 210 230]
  ...
  [116 141 161]
  [105 130 150]
  [141 166 186]]

 [[191 216 236]
  [190 215 235]
  [188 213 233]
  ...
  [142 167 187]
  [146 171 191]
  [136 161 181]]

 [[190 215 235]
  [189 214 234]
  [190 215 235]
  ...
  [143 168 188]
  [160 185 205]
  [138 163 183]]]"
