,img,size,label
0,battery1.jpg,"(224,224)",0
1,battery10.jpg,"(224,224)",0
2,battery100.jpg,"(224,224)",0
3,battery102.jpg,"(224,224)",0
4,battery103.jpg,"(224,224)",0
5,battery104.jpg,"(224,224)",0
6,battery105.jpg,"(224,224)",0
7,battery106.jpg,"(224,224)",0
8,battery107.jpg,"(224,224)",0
9,battery109.jpg,"(224,224)",0
10,battery11.jpg,"(224,224)",0
11,battery110.jpg,"(224,224)",0
12,battery111.jpg,"(224,224)",0
13,battery112.jpg,"(224,224)",0
14,battery113.jpg,"(224,224)",0
15,battery114.jpg,"(224,224)",0
16,battery115.jpg,"(224,224)",0
17,battery116.jpg,"(224,224)",0
18,battery117.jpg,"(224,224)",0
19,battery118.jpg,"(224,224)",0
20,battery119.jpg,"(224,224)",0
21,battery12.jpg,"(224,224)",0
22,battery120.jpg,"(224,224)",0
23,battery121.jpg,"(224,224)",0
24,battery123.jpg,"(224,224)",0
25,battery124.jpg,"(224,224)",0
26,battery125.jpg,"(224,224)",0
27,battery126.jpg,"(224,224)",0
28,battery127.jpg,"(224,224)",0
29,battery128.jpg,"(224,224)",0
30,battery129.jpg,"(224,224)",0
31,battery13.jpg,"(224,224)",0
32,battery130.jpg,"(224,224)",0
33,battery131.jpg,"(224,224)",0
34,battery133.jpg,"(224,224)",0
35,battery134.jpg,"(224,224)",0
36,battery135.jpg,"(224,224)",0
37,battery136.jpg,"(224,224)",0
38,battery137.jpg,"(224,224)",0
39,battery138.jpg,"(224,224)",0
40,battery139.jpg,"(224,224)",0
41,battery140.jpg,"(224,224)",0
42,battery141.jpg,"(224,224)",0
43,battery142.jpg,"(224,224)",0
44,battery143.jpg,"(224,224)",0
45,battery146.jpg,"(224,224)",0
46,battery147.jpg,"(224,224)",0
47,battery149.jpg,"(224,224)",0
48,battery15.jpg,"(224,224)",0
49,battery150.jpg,"(224,224)",0
50,battery151.jpg,"(224,224)",0
51,battery152.jpg,"(224,224)",0
52,battery153.jpg,"(224,224)",0
53,battery154.jpg,"(224,224)",0
54,battery156.jpg,"(224,224)",0
55,battery157.jpg,"(224,224)",0
56,battery159.jpg,"(224,224)",0
57,battery16.jpg,"(224,224)",0
58,battery160.jpg,"(224,224)",0
59,battery161.jpg,"(224,224)",0
60,battery162.jpg,"(224,224)",0
61,battery163.jpg,"(224,224)",0
62,battery164.jpg,"(224,224)",0
63,battery165.jpg,"(224,224)",0
64,battery166.jpg,"(224,224)",0
65,battery167.jpg,"(224,224)",0
66,battery168.jpg,"(224,224)",0
67,battery17.jpg,"(224,224)",0
68,battery171.jpg,"(224,224)",0
69,battery172.jpg,"(224,224)",0
70,battery173.jpg,"(224,224)",0
71,battery174.jpg,"(224,224)",0
72,battery175.jpg,"(224,224)",0
73,battery176.jpg,"(224,224)",0
74,battery178.jpg,"(224,224)",0
75,battery179.jpg,"(224,224)",0
76,battery18.jpg,"(224,224)",0
77,battery180.jpg,"(224,224)",0
78,battery182.jpg,"(224,224)",0
79,battery183.jpg,"(224,224)",0
80,battery184.jpg,"(224,224)",0
81,battery185.jpg,"(224,224)",0
82,battery186.jpg,"(224,224)",0
83,battery187.jpg,"(224,224)",0
84,battery188.jpg,"(224,224)",0
85,battery189.jpg,"(224,224)",0
86,battery19.jpg,"(224,224)",0
87,battery190.jpg,"(224,224)",0
88,battery191.jpg,"(224,224)",0
89,battery193.jpg,"(224,224)",0
90,battery194.jpg,"(224,224)",0
91,battery195.jpg,"(224,224)",0
92,battery196.jpg,"(224,224)",0
93,battery197.jpg,"(224,224)",0
94,battery199.jpg,"(224,224)",0
95,battery2.jpg,"(224,224)",0
96,battery20.jpg,"(224,224)",0
97,battery201.jpg,"(224,224)",0
98,battery202.jpg,"(224,224)",0
99,battery203.jpg,"(224,224)",0
100,battery204.jpg,"(224,224)",0
101,battery205.jpg,"(224,224)",0
102,battery206.jpg,"(224,224)",0
103,battery207.jpg,"(224,224)",0
104,battery21.jpg,"(224,224)",0
105,battery210.jpg,"(224,224)",0
106,battery211.jpg,"(224,224)",0
107,battery212.jpg,"(224,224)",0
108,battery213.jpg,"(224,224)",0
109,battery214.jpg,"(224,224)",0
110,battery215.jpg,"(224,224)",0
111,battery216.jpg,"(224,224)",0
112,battery218.jpg,"(224,224)",0
113,battery219.jpg,"(224,224)",0
114,battery22.jpg,"(224,224)",0
115,battery221.jpg,"(224,224)",0
116,battery222.jpg,"(224,224)",0
117,battery223.jpg,"(224,224)",0
118,battery225.jpg,"(224,224)",0
119,battery226.jpg,"(224,224)",0
120,battery228.jpg,"(224,224)",0
121,battery229.jpg,"(224,224)",0
122,battery23.jpg,"(224,224)",0
123,battery230.jpg,"(224,224)",0
124,battery231.jpg,"(224,224)",0
125,battery233.jpg,"(224,224)",0
126,battery235.jpg,"(224,224)",0
127,battery236.jpg,"(224,224)",0
128,battery237.jpg,"(224,224)",0
129,battery238.jpg,"(224,224)",0
130,battery239.jpg,"(224,224)",0
131,battery241.jpg,"(224,224)",0
132,battery242.jpg,"(224,224)",0
133,battery244.jpg,"(224,224)",0
134,battery246.jpg,"(224,224)",0
135,battery247.jpg,"(224,224)",0
136,battery248.jpg,"(224,224)",0
137,battery249.jpg,"(224,224)",0
138,battery25.jpg,"(224,224)",0
139,battery250.jpg,"(224,224)",0
140,battery252.jpg,"(224,224)",0
141,battery253.jpg,"(224,224)",0
142,battery254.jpg,"(224,224)",0
143,battery256.jpg,"(224,224)",0
144,battery257.jpg,"(224,224)",0
145,battery259.jpg,"(224,224)",0
146,battery260.jpg,"(224,224)",0
147,battery261.jpg,"(224,224)",0
148,battery262.jpg,"(224,224)",0
149,battery263.jpg,"(224,224)",0
150,battery264.jpg,"(224,224)",0
151,battery265.jpg,"(224,224)",0
152,battery266.jpg,"(224,224)",0
153,battery268.jpg,"(224,224)",0
154,battery269.jpg,"(224,224)",0
155,battery27.jpg,"(224,224)",0
156,battery270.jpg,"(224,224)",0
157,battery271.jpg,"(224,224)",0
158,battery272.jpg,"(224,224)",0
159,battery273.jpg,"(224,224)",0
160,battery274.jpg,"(224,224)",0
161,battery275.jpg,"(224,224)",0
162,battery276.jpg,"(224,224)",0
163,battery277.jpg,"(224,224)",0
164,battery278.jpg,"(224,224)",0
165,battery279.jpg,"(224,224)",0
166,battery28.jpg,"(224,224)",0
167,battery280.jpg,"(224,224)",0
168,battery282.jpg,"(224,224)",0
169,battery283.jpg,"(224,224)",0
170,battery284.jpg,"(224,224)",0
171,battery286.jpg,"(224,224)",0
172,battery287.jpg,"(224,224)",0
173,battery288.jpg,"(224,224)",0
174,battery289.jpg,"(224,224)",0
175,battery29.jpg,"(224,224)",0
176,battery291.jpg,"(224,224)",0
177,battery292.jpg,"(224,224)",0
178,battery293.jpg,"(224,224)",0
179,battery296.jpg,"(224,224)",0
180,battery297.jpg,"(224,224)",0
181,battery298.jpg,"(224,224)",0
182,battery299.jpg,"(224,224)",0
183,battery3.jpg,"(224,224)",0
184,battery30.jpg,"(224,224)",0
